Entidad,Atributo,Descripcion,Tipo/Dominio Oracle,Clave,Permite Nulo
COLOCACION,estado,"Estado: activa, finalizada o cancelada.",VARCHAR2(12),,NO
BITACORA,id_bitacora,Identificador de la entrada de bitácora.,NUMBER,PK,NO
BITACORA,correlativo,Correlativo que reinicia en 1 al comenzar cada mes de práctica.,NUMBER(5),,NO
BITACORA,fecha,Fecha de la entrada.,DATE,,NO
BITACORA,horas_trabajadas,Cantidad de horas trabajadas en el día.,"NUMBER(6,2)",,NO
BITACORA,actividades_realizadas,Descripción de actividades realizadas.,VARCHAR2(1000),,NO
BITACORA,observaciones,Observaciones de la entrada.,VARCHAR2(1000),,SI
BITACORA,fecha_validacion,Fecha en que el contacto empresarial valida la entrada.,DATE,,SI
EVALUACION,id_evaluacion,Identificador de la evaluación.,NUMBER,PK,NO
EVALUACION,tipo_evaluacion,Tipo de evaluación: PARCIAL o FINAL.,VARCHAR2(10),,NO
EVALUACION,fecha_evaluacion,Fecha en que se realiza la evaluación.,DATE,,NO
CRITERIO_EVALUACION,id_criterio,Identificador del criterio.,NUMBER,PK,NO
CRITERIO_EVALUACION,nombre,Nombre del criterio de evaluación.,VARCHAR2(120),UK,NO
CRITERIO_EVALUACION,descripcion,Descripción del criterio.,VARCHAR2(500),,SI
DETALLE_EVALUACION,id_detalle,Identificador del detalle de evaluación.,NUMBER,PK,NO
DETALLE_EVALUACION,puntuacion,"Puntuación del criterio, de 1 a 5.",NUMBER(1),,NO
CONTACTO_EMPRESARIAL,id_empresa,Empresa a la que pertenece el contacto.,NUMBER,FK,NO
PLAZA,id_empresa,Empresa que ofrece la plaza.,NUMBER,FK,NO
PLAZA,id_contacto,Contacto empresarial responsable.,NUMBER,FK,NO
CATEDRATICO_SUPERVISOR,id_instituto,Instituto que asigna al catedrático.,NUMBER,FK,NO
ESTUDIANTE,id_instituto,Instituto que envía al estudiante (supuesto documentado).,NUMBER,FK,NO
COLOCACION,id_estudiante,Estudiante colocado.,NUMBER,FK,NO
COLOCACION,id_plaza,Plaza asignada.,NUMBER,FK,NO
COLOCACION,id_catedratico,Catedrático supervisor asignado.,NUMBER,FK,NO
BITACORA,id_colocacion,Colocación a la que pertenece la entrada.,NUMBER,FK,NO
BITACORA,id_contacto_validador,Contacto empresarial que valida la entrada.,NUMBER,FK,NO
EVALUACION,id_colocacion,Colocación evaluada.,NUMBER,FK,NO
EVALUACION,id_catedratico,Catedrático que realiza la evaluación.,NUMBER,FK,NO
DETALLE_EVALUACION,id_evaluacion,Evaluación a la que pertenece el detalle.,NUMBER,FK,NO
DETALLE_EVALUACION,id_criterio,Criterio calificado.,NUMBER,FK,NO
